Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
470.3231,0.1241,2.3077,0.0179,20
559.7315,0.1198,2.3087,0.0156,19
523.8156,0.1208,2.3121,0.0165,19
523.5635,0.1102,2.2698,0.0182,22
450.9052,0.1178,2.2414,0.0195,22
541.2727,0.1114,2.2424,0.0171,22
402.9115,0.1253,2.3009,0.0205,17
534.7234,0.1182,2.2837,0.0163,18
447.5039,0.1264,2.3622,0.0187,18
317.1724,0.1238,2.2299,0.0259,21
241.962,0.1432,2.2785,0.0292,18
310.1731,0.1458,2.3269,0.0226,14
425.0,0.1368,2.3636,0.018,15
410.2951,0.1315,2.2951,0.019,17
447.2366,0.1307,2.3664,0.0182,19
375.5833,0.1286,2.2963,0.0215,20
372.5413,0.1295,2.2752,0.0211,18
303.7732,0.1396,2.2887,0.0238,16
326.7076,0.1418,2.3585,0.0225,16
386.1193,0.1264,2.2569,0.0209,19
166.7241,0.1501,2.2414,0.0393,16
283.7241,0.1355,2.2529,0.0262,17
296.0638,0.1394,2.2979,0.0247,17
331.8878,0.1313,2.3061,0.0238,19
356.0,0.1378,2.3571,0.0212,17
406.5283,0.1184,2.2453,0.0214,22
355.3267,0.1264,2.2376,0.0224,18
388.4035,0.1304,2.2807,0.0202,18
355.3981,0.1337,2.2963,0.0215,17
514.3806,0.1176,2.2985,0.0173,22
561.1594,0.112,2.2464,0.0164,21
495.3778,0.1224,2.2963,0.0171,19
521.1181,0.1116,2.2205,0.0176,23
439.8396,0.1103,2.1887,0.0208,23
452.3689,0.1217,2.2787,0.0188,19
467.8906,0.1232,2.2969,0.0181,18
473.189,0.1204,2.315,0.0184,18
501.874,0.1156,2.2835,0.0181,22
343.8646,0.1259,2.25,0.0237,21
323.6782,0.1224,2.2299,0.0259,22
369.2478,0.1358,2.354,0.021,18
469.6538,0.1246,2.2923,0.0178,20
417.2283,0.1346,2.3622,0.0187,17
457.2403,0.1258,2.3101,0.018,18
461.0977,0.1281,2.3158,0.0175,16
249.1264,0.1509,2.3678,0.0275,14
483.1667,0.1192,2.3333,0.0187,24
253.1482,0.1395,2.2963,0.0287,17
320.3131,0.1358,2.2828,0.0233,15
276.0,0.1395,2.2989,0.0267,18
199.7013,0.1627,2.3377,0.0308,14
207.987,0.1584,2.3117,0.0304,14
323.9907,0.1446,2.3704,0.0222,15
447.746,0.1259,2.3175,0.0185,19
293.4624,0.1397,2.2581,0.0245,17
275.0476,0.1354,2.2381,0.027,18
475.1894,0.1241,2.2727,0.0173,18
525.2774,0.1174,2.2482,0.0165,19
366.5922,0.1261,2.2718,0.0223,21
519.7594,0.1161,2.2556,0.0171,21
468.7422,0.1225,2.3125,0.0182,21
456.042,0.1184,2.2353,0.0189,19
570.6027,0.1162,2.2603,0.0156,20
631.6115,0.113,2.2675,0.0145,20
522.8686,0.1181,2.2774,0.0167,19
548.0935,0.115,2.2878,0.0166,20
461.1496,0.1243,2.2992,0.0182,19
414.3063,0.1216,2.2883,0.0208,22
469.0313,0.1227,2.3125,0.0182,19
385.9912,0.1307,2.3186,0.0207,18
448.9339,0.1219,2.281,0.019,20
444.3043,0.1186,2.2609,0.0198,24
553.4056,0.1168,2.2797,0.0161,19
475.5735,0.1276,2.3676,0.0175,17
452.3008,0.1304,2.3308,0.0177,17
482.8421,0.1237,2.2857,0.0173,19
381.198,0.1198,2.2178,0.0222,21
369.5505,0.1308,2.2936,0.0212,18
235.7778,0.1485,2.2963,0.0287,15
202.52,0.1577,2.32,0.0314,14
266.587,0.1498,2.3696,0.026,15
355.9649,0.14,2.3684,0.021,15
365.2404,0.1268,2.2308,0.0217,17
268.5542,0.1359,2.241,0.0273,17
225.3377,0.1477,2.2857,0.0301,15
298.4624,0.1369,2.2796,0.0248,16
465.9091,0.1167,2.2479,0.0187,19
427.2735,0.1229,2.2735,0.0196,19
434.6721,0.1253,2.3115,0.0191,18
459.3083,0.1286,2.3759,0.018,16
454.6429,0.1123,2.1964,0.0198,22
502.3095,0.1135,2.2222,0.0178,21
701.8554,0.1082,2.253,0.0137,23
476.5448,0.1253,2.3433,0.0176,18
596.7315,0.1136,2.2819,0.0154,21
552.4662,0.1102,2.2707,0.0172,22
515.728,0.1109,2.24,0.0181,21
653.5223,0.1101,2.3057,0.0148,21
