Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
22.4131,0.514,10.4783,0.2329,4
21.7708,0.5314,11.4583,0.2438,4
21.9565,0.5171,8.8261,0.1961,4
6.5625,0.5489,2.75,0.1833,3
8.3889,0.5181,2.7778,0.1634,3
16.0556,0.5302,4.4444,0.127,3
11.6429,0.5463,4.7857,0.1772,3
16.0811,0.5365,5.2432,0.1456,3
18.7576,0.4722,3.7576,0.1174,4
17.2059,0.4998,3.8824,0.1176,4
22.7333,0.5004,4.1333,0.0939,4
19.8085,0.545,9.5319,0.2072,3
22.6809,0.5156,9.6596,0.21,4
20.6522,0.531,11.087,0.2464,4
24.7917,0.4997,9.3333,0.1986,4
20.6591,0.5178,6.7273,0.1564,3
23.1522,0.5027,5.7391,0.1275,4
15.9118,0.5179,3.6471,0.1105,3
17.7778,0.5065,4.0556,0.1159,4
27.4167,0.4724,6.7083,0.1427,4
25.898,0.491,7.551,0.1573,4
27.125,0.4747,7.375,0.1569,4
23.9783,0.4948,7.9565,0.1768,4
24.7292,0.4962,7.5417,0.1605,4
20.5909,0.5209,9.2727,0.2156,4
25.5714,0.4963,8.8571,0.1845,4
26.25,0.4851,8.9583,0.1906,4
22.766,0.5131,10.5957,0.2303,4
22.9583,0.5161,10.4583,0.2225,4
20.0889,0.5329,9.7778,0.2222,4
8.3889,0.5189,2.8889,0.1699,4
10.5769,0.5523,4.9231,0.1969,3
11.0741,0.549,4.7407,0.1823,3
15.5588,0.5225,4.6471,0.1408,3
17.6053,0.5198,4.0526,0.1095,3
15.4706,0.5249,4.4706,0.1355,3
21.7347,0.5323,8.3673,0.1743,4
24.2245,0.5087,9.0612,0.1888,4
20.9787,0.5344,11.8723,0.2581,4
21.5435,0.5233,11.0435,0.2454,4
26.8571,0.4868,9.551,0.199,5
23.9583,0.5062,6.9583,0.148,4
17.7714,0.5011,4.9143,0.1445,4
16.3548,0.4903,3.5484,0.1183,4
24.8333,0.4649,3.8571,0.0941,4
23.9375,0.5047,7.5417,0.1605,3
19.1739,0.5476,10.8261,0.2406,3
20.1458,0.5464,10.4167,0.2216,3
23.0408,0.52,9.0204,0.1879,4
22.5417,0.5182,9.0417,0.1924,4
20.1163,0.5214,9.3023,0.2215,4
21.9778,0.5132,8.8889,0.202,4
24.1087,0.4974,9.1304,0.2029,5
22.2292,0.5247,11.4167,0.2429,4
21.3617,0.5309,12.4681,0.271,4
12.7037,0.5168,4.5926,0.1766,4
13.5556,0.5014,4.0741,0.1567,4
15.5161,0.501,3.8065,0.1269,3
18.027,0.5087,4.3784,0.1216,3
21.7333,0.5113,5.2,0.1182,3
23.38,0.5201,7.92,0.1616,4
22.7917,0.5195,10.0,0.2128,4
23.0204,0.5233,12.2857,0.256,4
23.383,0.5065,9.7021,0.2109,4
19.9348,0.5401,11.1739,0.2483,4
24.0,0.5089,7.0612,0.1471,4
17.6176,0.4959,4.5294,0.1373,4
12.8462,0.5062,4.1538,0.1662,4
23.5435,0.4995,7.0,0.1556,4
20.8298,0.5336,9.7447,0.2118,3
17.1087,0.5757,14.4783,0.3217,3
19.8511,0.5468,12.4681,0.271,3
20.0,0.5377,9.3043,0.2068,4
21.6327,0.5338,9.9592,0.2075,3
23.5532,0.5071,11.2766,0.2451,4
21.8043,0.52,10.8261,0.2406,4
21.1333,0.5218,9.9556,0.2263,4
24.9167,0.4999,11.4583,0.2438,5
12.8889,0.5157,4.3704,0.1681,4
16.6857,0.5135,4.0,0.1176,3
16.4359,0.5428,5.1282,0.135,2
24.087,0.4935,5.1304,0.114,4
26.25,0.483,7.0417,0.1498,4
19.6957,0.5422,10.913,0.2425,4
21.34,0.5442,13.16,0.2686,3
21.0833,0.5382,12.0,0.2553,4
23.8571,0.5123,10.898,0.227,4
21.1111,0.5188,6.4444,0.1465,3
17.0,0.51,4.5714,0.1345,3
19.1579,0.5021,4.9474,0.1337,4
22.625,0.5196,9.7083,0.2066,4
20.4792,0.5477,13.8333,0.2943,4
19.0833,0.5618,14.0417,0.2988,3
22.06,0.5346,12.04,0.2457,3
19.3478,0.5459,9.6522,0.2145,3
20.1778,0.5345,12.3556,0.2808,4
25.8776,0.4983,12.6531,0.2636,5
21.2609,0.5254,12.2174,0.2715,4
12.9,0.5385,4.4667,0.154,3
15.1429,0.5372,4.8571,0.1429,3
16.975,0.5412,5.05,0.1295,2
19.75,0.5294,6.1818,0.1438,3
18.4792,0.5677,12.4167,0.2642,3
17.9375,0.5742,12.4167,0.2642,3
18.04,0.5828,14.44,0.2947,3
21.7551,0.5352,11.5918,0.2415,4
23.4898,0.515,9.7143,0.2024,3
23.5208,0.5092,7.9583,0.1693,4
16.7714,0.5143,4.7429,0.1395,3
22.0435,0.5131,5.4783,0.1217,3
24.14,0.5126,8.84,0.1804,4
20.1915,0.5462,13.1489,0.2858,4
19.0889,0.55,13.6,0.3091,4
21.7174,0.5266,13.7391,0.3053,5
25.9,0.4991,12.52,0.2555,4
12.4516,0.5549,5.0968,0.1699,2
14.0303,0.5418,5.0303,0.1572,3
19.8333,0.5173,5.2381,0.1278,3
16.093,0.5746,11.2093,0.2669,3
18.1702,0.5687,12.6809,0.2757,3
16.7959,0.5945,14.4082,0.3002,2
18.6122,0.5696,11.4694,0.2389,3
18.0426,0.5678,11.1489,0.2424,3
20.375,0.544,9.4167,0.2004,3
26.6458,0.4768,6.625,0.141,4
26.0,0.4721,5.5652,0.1237,4
22.425,0.4745,4.35,0.1115,4
22.4898,0.5268,10.6122,0.2211,4
19.9167,0.5525,13.7917,0.2934,4
17.0,0.5027,4.7647,0.1444,3
24.5306,0.5038,7.1837,0.1497,4
22.2857,0.5283,8.9388,0.1862,4
17.7609,0.5658,10.6087,0.2357,3
18.1957,0.5596,9.913,0.2203,3
28.551,0.4653,6.1633,0.1284,4
23.5349,0.4803,5.4419,0.1296,4
21.9796,0.5303,9.102,0.1896,4
20.5102,0.5502,12.2857,0.256,3
22.5306,0.5242,8.449,0.176,3
17.6522,0.5663,10.1739,0.2261,3
19.0638,0.5536,9.4468,0.2054,3
27.3674,0.4763,7.0612,0.1471,4
24.875,0.493,5.9583,0.1268,3
21.88,0.5375,10.04,0.2049,3
16.2766,0.5926,13.7447,0.2988,3
21.2128,0.5296,9.8298,0.2137,4
20.4468,0.5384,10.8085,0.235,3
19.5111,0.5403,10.9778,0.2495,4
27.0213,0.4698,6.766,0.1471,4
24.1277,0.4987,7.1915,0.1563,4
19.9184,0.5555,11.0204,0.2296,3
18.4792,0.5696,12.4167,0.2642,3
23.8913,0.501,10.7391,0.2386,5
21.6889,0.5185,11.1111,0.2525,5
23.2667,0.4952,7.0222,0.1596,4
22.7755,0.5244,11.0612,0.2304,4
23.2653,0.5206,11.3469,0.2364,4
23.4783,0.5075,11.6087,0.258,5
