Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
9140.5797,0.1993,9.0538,0.002,11
10358.8781,0.1808,8.6219,0.0019,11
12110.3533,0.1583,8.0932,0.0018,14
10067.8687,0.1848,8.1546,0.0018,11
10655.657,0.1769,7.8414,0.0018,13
10082.6765,0.1847,7.836,0.0018,12
8941.9406,0.2034,7.7375,0.0017,10
9378.1891,0.195,7.7939,0.0017,10
8547.0329,0.2101,8.0726,0.0018,10
8928.6098,0.2032,8.9207,0.002,10
9373.1344,0.1957,8.8938,0.002,11
9866.9364,0.188,8.9686,0.002,12
9346.1111,0.1963,8.3862,0.0019,10
8579.9547,0.2094,8.0166,0.0018,9
7638.7188,0.23,8.5869,0.0019,10
7465.4093,0.2346,9.2119,0.0021,10
9261.1505,0.1978,10.1026,0.0023,12
9636.972,0.1919,9.306,0.0021,12
8812.8846,0.2053,9.1443,0.002,10
8661.6978,0.2086,9.6035,0.0022,10
6499.5916,0.2594,8.5909,0.0019,8
7308.5051,0.2376,8.4767,0.0019,9
8552.123,0.2106,9.2849,0.0021,10
8081.9301,0.2197,9.4315,0.0021,9
8424.1646,0.2132,9.7984,0.0022,10
8929.7798,0.2038,9.0847,0.002,10
7981.9933,0.222,9.0255,0.002,8
8248.3268,0.217,8.6196,0.0019,10
7146.9102,0.2436,8.7769,0.002,8
9136.8875,0.1997,9.134,0.002,10
10679.155,0.176,8.3611,0.0019,12
10348.4164,0.1808,8.2858,0.0019,12
9839.1254,0.1881,8.4041,0.0019,10
10159.0927,0.1835,8.3786,0.0019,12
9717.7466,0.1902,8.3002,0.0019,12
7625.017,0.229,7.8647,0.0018,9
7946.0522,0.2222,8.1277,0.0018,9
7794.8042,0.2252,8.254,0.0018,9
8764.7894,0.206,8.8835,0.002,10
9572.8544,0.1916,8.9727,0.002,10
8496.4527,0.2116,8.4686,0.0019,10
8751.295,0.2065,8.3499,0.0019,10
7812.4637,0.2269,8.4892,0.0019,10
6770.8676,0.2524,9.1039,0.002,8
6361.0208,0.2653,10.2751,0.0023,9
8664.8185,0.2089,10.0609,0.0023,11
9680.5921,0.1913,9.2858,0.0021,12
11109.2825,0.1739,9.3002,0.0021,15
8055.269,0.2198,9.9395,0.0022,9
7147.0735,0.243,8.5744,0.0019,11
5806.2312,0.281,8.1237,0.0018,7
6742.0172,0.2517,9.1667,0.0021,7
7217.5867,0.2403,9.0789,0.002,9
7897.8414,0.2241,8.6098,0.0019,9
8073.3707,0.2209,9.0036,0.002,11
7845.0629,0.2245,9.4489,0.0021,9
8213.9417,0.2176,8.323,0.0019,10
8392.2679,0.2145,8.9646,0.002,11
8716.4832,0.2068,9.0121,0.002,9
9965.3232,0.1863,8.2513,0.0018,11
9930.7117,0.1871,8.1823,0.0018,12
10260.6537,0.1825,8.6411,0.0019,12
9941.9162,0.1867,8.4624,0.0019,11
10047.5746,0.1848,8.3427,0.0019,12
10389.7128,0.1796,8.3777,0.0019,12
6654.2742,0.2541,8.121,0.0018,8
7024.3815,0.244,8.6035,0.0019,7
8653.3369,0.2076,8.9467,0.002,9
8944.3618,0.2032,8.6254,0.0019,9
8222.3385,0.2172,8.7469,0.002,9
7107.2881,0.2421,8.4673,0.0019,8
6940.5979,0.2481,8.1864,0.0018,8
6951.3232,0.2464,7.6653,0.0017,9
7874.1223,0.2252,9.806,0.0022,10
9093.1575,0.2011,9.4364,0.0021,12
9444.0914,0.1945,9.2263,0.0021,11
9295.0719,0.1972,9.1478,0.002,11
6950.194,0.2479,9.5224,0.0021,9
5764.6234,0.2826,9.2899,0.0021,7
5243.7294,0.3024,8.5547,0.0019,6
6582.9771,0.258,8.2823,0.0019,8
6666.0233,0.2545,8.4686,0.0019,8
7724.5995,0.2278,8.8029,0.002,9
7436.2079,0.2358,9.7513,0.0022,10
7441.1154,0.2347,8.7321,0.002,9
6898.4675,0.2483,8.7612,0.002,9
7086.2184,0.2447,9.1125,0.002,9
8610.3208,0.2094,9.2289,0.0021,10
10057.112,0.185,8.75,0.002,11
